Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.noXYM			10301274	10234316	99.35						
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880_R1						24.02281276619837	55.0	76.0	76	18.181818181818183	6261678.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880_R1_val_1						17.598450485981786	55.0	54.5824522825668	60	9.090909090909092	6176621.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880_R2						23.05649001839369	55.0	76.0	76	18.181818181818183	6261678.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880_R2_val_2						16.946306004891	55.0	54.565358955972854	60	9.090909090909092	6176621.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880			12401138	12248224	98.77						
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.FDR50_free_macs2	81.0	56902									
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.chrM			536629	535139	99.72						
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.free_macs2	81.0	41521									
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.noXYM			10981589	10927712	99.51						
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880_R1						12.040662001946785	52.0	76.0	76	18.181818181818183	6275596.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880_R1_val_1						8.565174460664565	51.0	54.39883731658267	60	9.090909090909092	6199796.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880_R2						11.281982020748032	51.0	76.0	76	18.181818181818183	6275596.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880_R2_val_2						7.90106683245925	51.0	54.37859181173058	60	9.090909090909092	6199796.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880			11015391	10870884	98.69						
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.FDR50_free_macs2	81.0	55563									
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.chrM			453480	452192	99.72						
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.free_macs2	81.0	41733									
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.noXYM			9769518	9718709	99.48						
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880_R1						12.107832910421024	52.0	76.0	76	18.181818181818183	5575779.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880_R1_val_1						8.495302850974738	52.0	54.24274492670566	60	9.090909090909092	5506974.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880_R2						11.394430370481373	52.0	76.0	76	18.181818181818183	5575779.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880_R2_val_2						7.809023904497565	52.0	54.22825675225632	60	9.090909090909092	5506974.0
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880			12281460	12125963	98.73						
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.chrM			758274	756258	99.73						
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.free_macs2	81.0	55892									
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.noXYM			10649225	10598085	99.52						
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880_R1						13.943164063640538	51.0	76.0	76	18.181818181818183	6211469.0
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880_R1_val_1						10.108577176955038	51.0	54.52792730111903	60	9.090909090909092	6140067.0
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880_R2						13.182436538693437	51.0	76.0	76	18.181818181818183	6211469.0
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880_R2_val_2						9.536915443855762	50.0	54.509737597325895	60	9.090909090909092	6140067.0
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880			10254072	10130918	98.8						
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.chrM			621453	619687	99.72						
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.free_macs2	81.0	50966									
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.noXYM			8910732	8867246	99.51						
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880_R1						13.085597487224447	51.0	76.0	76	18.181818181818183	5184370.0
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880_R1_val_1						9.55206035871987	51.0	54.547232545600814	60	9.090909090909092	5126444.0
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880_R2						12.422611115588566	51.0	76.0	76	18.181818181818183	5184370.0
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880_R2_val_2						8.992344164828353	51.0	54.525251421843286	60	9.090909090909092	5126444.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880			12047645	11841015	98.28						
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.FDR50_free_macs2	81.0	54141									
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.chrM			215840	215186	99.7						
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.free_macs2	81.0	34525									
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.noXYM			10874901	10822002	99.51						
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880_R1						8.258696104481743	51.0	76.0	76	18.181818181818183	6098930.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880_R1_val_1						5.607559680400541	51.0	54.36093719647953	60	9.090909090909092	6023070.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880_R2						7.728693523479805	51.0	76.0	76	18.181818181818183	6098930.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880_R2_val_2						5.151310012568871	50.0	54.348765828721895	60	9.090909090909092	6023070.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880			12228850	12063255	98.65						
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.FDR50_free_macs2	81.0	55548									
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.chrM			234345	233652	99.7						
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.free_macs2	81.0	35823									
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.noXYM			11066012	11011896	99.51						
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880_R1						8.472729288896716	52.0	76.0	76	18.181818181818183	6191053.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880_R1_val_1						5.806191731145944	51.0	54.435558294788336	60	9.090909090909092	6113634.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880_R2						7.939896197775951	51.0	76.0	76	18.181818181818183	6191053.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880_R2_val_2						5.3829133860662495	51.0	54.41681755891831	60	9.090909090909092	6113634.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880			15861249	15646297	98.64						
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.FDR50_free_macs2	81.0	84173									
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.chrM			768051	766001	99.73						
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.free_macs2	81.0	60653									
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.noXYM			13799708	13735782	99.54						
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880_R1						13.504173829650654	52.0	76.0	76	18.181818181818183	8037705.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880_R1_val_1						9.689694965519706	51.0	53.89951433084673	60	9.090909090909092	7929678.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880_R2						12.835359993896333	51.0	76.0	76	18.181818181818183	8037705.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880_R2_val_2						9.091610877635631	51.0	53.88482357038962	60	9.090909090909092	7929678.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880			12467336	12307685	98.72						
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.FDR50_free_macs2	81.0	70945									
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.chrM			545377	543877	99.72						
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.free_macs2	81.0	52121									
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.noXYM			10913008	10860034	99.51						
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880_R1						12.124168583684309	52.0	76.0	76	18.181818181818183	6313978.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880_R1_val_1						8.658900800760577	51.0	54.206776692620906	60	9.090909090909092	6232893.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880_R2						11.546020270221419	51.0	76.0	76	18.181818181818183	6313978.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880_R2_val_2						8.186097969914982	51.0	54.18921325939656	60	9.090909090909092	6232893.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880			10248768	10130158	98.84						
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.FDR50_free_macs2	81.0	42867									
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.chrM			286056	285194	99.7						
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.free_macs2	81.0	22072									
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.noXYM			9265253	9226686	99.58						
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880_R1						6.437210404770326	50.0	76.0	76	18.181818181818183	5180063.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880_R1_val_1						4.498884170901576	49.0	54.73977340305087	60	9.090909090909092	5123723.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880_R2						6.071752056229798	49.0	76.0	76	18.181818181818183	5180063.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880_R2_val_2						4.207865024916785	48.0	54.71829800322929	60	9.090909090909092	5123723.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880			10906657	10778820	98.83						
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.FDR50_free_macs2	81.0	47825									
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.chrM			313157	312266	99.72						
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.free_macs2	81.0	24423									
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.noXYM			9850598	9808302	99.57						
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880_R1						6.6288081136390815	50.0	76.0	76	18.181818181818183	5514440.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880_R1_val_1						4.553667977801936	49.0	54.65412743572067	60	9.090909090909092	5452647.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880_R2						6.257778714110557	50.0	76.0	76	18.181818181818183	5514440.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880_R2_val_2						4.309209262913342	49.0	54.6330028333028	60	9.090909090909092	5452647.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880			12491144	12340070	98.79						
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.FDR50_free_macs2	81.0	74403									
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.chrM			763597	761580	99.74						
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.free_macs2	81.0	57768									
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.noXYM			10778232	10725874	99.51						
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880_R1						14.79386624052205	51.0	76.0	76	18.181818181818183	6320907.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880_R1_val_1						10.677955640290122	50.0	54.5020094971117	60	9.090909090909092	6244846.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880_R2						14.01285572649148	51.0	76.0	76	18.181818181818183	6320907.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880_R2_val_2						10.071210431694126	50.0	54.48154510135238	60	9.090909090909092	6244846.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880			13957401	13787342	98.78						
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.FDR50_free_macs2	81.0	79254									
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.chrM			902845	900460	99.74						
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.free_macs2	81.0	62650									
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.noXYM			11989042	11930597	99.51						
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880_R1						15.706505287749223	51.0	76.0	76	18.181818181818183	7059254.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880_R1_val_1						11.490719681825595	51.0	54.65240377470596	60	9.090909090909092	6977921.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880_R2						14.778056946267554	51.0	76.0	76	18.181818181818183	7059254.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880_R2_val_2						10.720657765314243	51.0	54.63198680523898	60	9.090909090909092	6977921.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880			14036443	13872957	98.84						
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.FDR50_free_macs2	81.0	67883									
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.chrM			276716	275957	99.73						
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.free_macs2	81.0	28012									
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.noXYM			12750488	12695022	99.56						
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880_R1						7.479405755211616	51.0	76.0	76	18.181818181818183	7099471.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880_R1_val_1						5.138584801878935	50.0	54.46926084200614	60	9.090909090909092	7017336.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880_R2						7.106279637284814	51.0	76.0	76	18.181818181818183	7099471.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880_R2_val_2						4.873651463135957	50.0	54.44958913183009	60	9.090909090909092	7017336.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880			13315551	13151275	98.77						
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.FDR50_free_macs2	81.0	64834									
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.chrM			248968	248223	99.7						
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.free_macs2	81.0	27215									
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.noXYM			12101086	12045184	99.54						
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880_R1						7.3698503556699535	51.0	76.0	76	18.181818181818183	6736271.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880_R1_val_1						4.974564711641875	50.0	54.51522862312974	60	9.090909090909092	6656938.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880_R2						6.981097899367896	51.0	76.0	76	18.181818181818183	6736271.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880_R2_val_2						4.652710542721323	50.0	54.49357827878222	60	9.090909090909092	6656938.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880			13114237	12945968	98.72						
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.FDR50_free_macs2	81.0	75492									
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.chrM			728628	726770	99.74						
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.free_macs2	81.0	51195									
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.noXYM			11340765	11289193	99.55						
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880_R1						12.236717112130975	51.0	76.0	76	18.181818181818183	6647146.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880_R1_val_1						8.849376986728714	50.0	53.83699968107221	60	9.090909090909092	6556343.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880_R2						11.748981518267883	51.0	76.0	76	18.181818181818183	6647146.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880_R2_val_2						8.489907946392279	50.0	53.82476664201369	60	9.090909090909092	6556343.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880			10910162	10772093	98.73						
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.FDR50_free_macs2	81.0	62787									
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.chrM			580132	578671	99.75						
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.free_macs2	81.0	40809									
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.noXYM			9476077	9434213	99.56						
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880_R1						10.979366324681237	51.0	76.0	76	18.181818181818183	5527994.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880_R1_val_1						7.8560371653396	50.0	53.95405387963672	60	9.090909090909092	5454454.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880_R2						10.303819867095044	50.0	76.0	76	18.181818181818183	5527994.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880_R2_val_2						7.41531950544055	50.0	53.94068535549113	60	9.090909090909092	5454454.0
