Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.noXYM	9265253	0	1194	0	0	0	196575	0	9226686	0	99.58	nan	9264059	0	4632010	0	4632049	0	9120492	0	98.45	nan	9186925	0	38567	0	0.42	nan	32261	0	14342	0	9265253
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880	10906657	0	1363	0	0	0	315363	0	10778820	0	98.83	nan	10905294	0	5452647	0	5452647	0	10647582	0	97.64	nan	10730436	0	47021	0	0.43	nan	38872	0	16279	0	10906657
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.chrM	313157	0	1	0	0	0	92713	0	312266	0	99.72	nan	313156	0	156602	0	156554	0	310624	0	99.19	nan	311374	0	891	0	0.28	nan	156	0	152	0	313157
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.noXYM	9850598	0	1228	0	0	0	208945	0	9808302	0	99.57	nan	9849370	0	4924603	0	4924767	0	9692276	0	98.41	nan	9764778	0	42296	0	0.43	nan	34178	0	15218	0	9850598
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880	12491144	0	1452	0	0	0	737584	0	12340070	0	98.79	nan	12489692	0	6244846	0	6244846	0	12193310	0	97.63	nan	12278448	0	60170	0	0.48	nan	37916	0	17142	0	12491144
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.chrM	763597	0	6	0	0	0	342910	0	761580	0	99.74	nan	763591	0	381912	0	381679	0	758150	0	99.29	nan	759557	0	2017	0	0.26	nan	403	0	384	0	763597
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.noXYM	10778232	0	1316	0	0	0	344164	0	10725874	0	99.51	nan	10776916	0	5388243	0	5388673	0	10598308	0	98.34	nan	10672200	0	52358	0	0.49	nan	33490	0	15999	0	10778232
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880	13957401	0	1559	0	0	0	881391	0	13787342	0	98.78	nan	13955842	0	6977921	0	6977921	0	13625556	0	97.63	nan	13718698	0	67085	0	0.48	nan	39744	0	17862	0	13957401
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.chrM	902845	0	4	0	0	0	427005	0	900460	0	99.74	nan	902841	0	451533	0	451308	0	896350	0	99.28	nan	898071	0	2385	0	0.26	nan	465	0	443	0	902845
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.noXYM	11989042	0	1422	0	0	0	396522	0	11930597	0	99.51	nan	11987620	0	5993627	0	5993993	0	11789876	0	98.35	nan	11870730	0	58445	0	0.49	nan	34966	0	16631	0	11989042
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880	14036443	0	1771	0	0	0	391973	0	13872957	0	98.84	nan	14034672	0	7017336	0	7017336	0	13713806	0	97.71	nan	13809580	0	61606	0	0.44	nan	46700	0	19699	0	14036443
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.chrM	276716	0	1	0	0	0	71576	0	275957	0	99.73	nan	276715	0	138377	0	138338	0	274346	0	99.14	nan	275197	0	759	0	0.27	nan	137	0	130	0	276716
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.noXYM	12750488	0	1583	0	0	0	293581	0	12695022	0	99.56	nan	12748905	0	6374381	0	6374524	0	12555542	0	98.48	nan	12637973	0	55466	0	0.44	nan	40961	0	18412	0	12750488
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880	13315551	0	1675	0	0	0	347360	0	13151275	0	98.77	nan	13313876	0	6656938	0	6656938	0	12989724	0	97.57	nan	13087642	0	61958	0	0.47	nan	46846	0	19648	0	13315551
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.chrM	248968	0	1	0	0	0	60162	0	248223	0	99.7	nan	248967	0	124513	0	124454	0	246790	0	99.13	nan	247477	0	745	0	0.3	nan	117	0	113	0	248968
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.noXYM	12101086	0	1512	0	0	0	262184	0	12045184	0	99.54	nan	12099574	0	6049762	0	6049812	0	11902960	0	98.38	nan	11987770	0	55902	0	0.46	nan	41266	0	18459	0	12101086
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880	13114237	0	1551	0	0	0	691852	0	12945968	0	98.72	nan	13112686	0	6556343	0	6556343	0	12792668	0	97.56	nan	12885004	0	59413	0	0.45	nan	39606	0	16958	0	13114237
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.chrM	728628	0	4	0	0	0	321042	0	726770	0	99.74	nan	728624	0	364383	0	364241	0	723542	0	99.3	nan	724908	0	1858	0	0.26	nan	298	0	287	0	728628
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.noXYM	11340765	0	1400	0	0	0	316298	0	11289193	0	99.55	nan	11339365	0	5669580	0	5669785	0	11157146	0	98.39	nan	11236221	0	51572	0	0.45	nan	34539	0	15789	0	11340765
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880	10910162	0	1254	0	0	0	502334	0	10772093	0	98.73	nan	10908908	0	5454454	0	5454454	0	10643844	0	97.57	nan	10722768	0	48071	0	0.44	nan	33648	0	14489	0	10910162
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.chrM	580132	0	2	0	0	0	231852	0	578671	0	99.75	nan	580130	0	290127	0	290003	0	576038	0	99.29	nan	577208	0	1461	0	0.25	nan	272	0	257	0	580132
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.noXYM	9476077	0	1137	0	0	0	233794	0	9434213	0	99.56	nan	9474940	0	4737387	0	4737553	0	9323386	0	98.4	nan	9391212	0	41864	0	0.44	nan	29350	0	13467	0	9476077
